TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000280	"nuclear division"	7.34996081842808	5.292187376490468	0.556356852863531	0.6627658399015156	0.48182776	null
GO:0006260	"DNA replication"	5.35187307483744	5.722588681168919	1.4988429862435908	0.9251371003482535	0.00385171	null
GO:0006325	"chromatin organization"	3.65239140602373	5.744767708703848	1.577375926641569	0.7641841025083989	0.37834585	null
GO:0006974	"DNA damage response"	2.1357697179421	6.077564474444627	3.3941606378207965	0.9511133162612527	0.00471935	null
GO:0007018	"microtubule-based movement"	8.4763756342201	5.381145778195368	0.6828294661542957	0.792773218559937	0.00341533	null
GO:0007224	"smoothened signaling pathway"	1.97629193099	4.306703744429641	0.05752420064868175	0.9067445571997182	0.30045767	null
GO:0007368	"determination of left/right symmetry"	2.53146869507079	4.304921161900892	0.05728856208122342	0.917700600471216	0	null
GO:0018200	"peptidyl-glutamic acid modification"	1.80631025111195	2.0086001717619175	0.00028674090738904634	0.9847964770110162	0.09747819	null
GO:0022406	"membrane docking"	2.30323303813408	4.797918148651549	0.17827051284832063	0.9964052011571299	0.00302344	null
GO:0032886	"regulation of microtubule-based process"	3.21941946029566	4.889312909961231	0.22002680260948987	0.9224159707957509	0.17056043	null
GO:0034502	"protein localization to chromosome"	1.84361989265353	4.290635526261545	0.055434682749292266	0.9382160080665759	0.1796467	null
GO:0046599	"regulation of centriole replication"	4.57952113044551	3.889581802149624	0.022013752434600645	0.7655587475315987	0.14272095	null
GO:0048285	"organelle fission"	6.99006791804813	5.361826013237365	0.6531191335223514	0.7136417776598862	0.49800252	null
GO:0050000	"chromosome localization"	3.28537628319549	4.661907292766021	0.13033651799330423	0.9282095600572976	0	null
GO:0051052	"regulation of DNA metabolic process"	4.84773109086271	5.078913348506884	0.34046933978842947	0.90084822494032	0	null
GO:0051053	"negative regulation of DNA metabolic process"	3.6826721817503	4.579715018389665	0.1078628444993271	0.8414810722051049	0.29833947	null
GO:0051301	"cell division"	2.72869226504192	5.75970636301376	1.632577809842288	0.9956500178840145	0.00425547	null
GO:0060271	"cilium assembly"	17.9491157482909	5.212789337978915	0.46339885751066423	0.6516590555558089	0	null
GO:0071103	"DNA conformation change"	7.91062045123619	4.785052082526423	0.1730665912320422	0.7062485592479154	0.43387597	null
GO:1903046	"meiotic cell cycle process"	6.35495420846869	5.169445178907751	0.41938270871700306	0.62815082959922	0.00326187	null
