TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000280	"nuclear division"	7.34996081842808	5.292187376490468	0.556356852863531	0.6627658399015156	0.48182776	null
GO:0000281	"mitotic cytokinesis"	2.64431247072854	4.574390136187557	0.10654837875555354	0.6901710393106806	0.68929214	null
GO:0000729	"DNA double-strand break processing"	1.82910642659981	4.117105502761251	0.03717411328071458	0.9244445281226943	0.50690479	null
GO:0000910	"cytokinesis"	1.75033735611019	5.020907950578024	0.2979010906261388	0.6851808323599063	0.67856722	null
GO:0003351	"epithelial cilium movement involved in extracellular fluid movement"	3.55478720324385	3.9423057528958942	0.02485561033852575	0.7923212498023876	0.61921002	null
GO:0006260	"DNA replication"	5.35187307483744	5.722588681168919	1.4988429862435908	0.9251371003482535	0.00385171	null
GO:0006261	"DNA-templated DNA replication"	3.40650497750758	5.475047622707141	0.8476458685064114	0.9286802963655377	0.59561981	null
GO:0006302	"double-strand break repair"	1.80695976010373	5.444466388020193	0.7900109461212131	0.9083738357335261	0.69529518	null
GO:0006310	"DNA recombination"	2.82640425482584	5.828240219481015	1.911647688203956	0.9235500273513784	0.65499851	null
GO:0006325	"chromatin organization"	3.65239140602373	5.744767708703848	1.577375926641569	0.7641841025083989	0.37834585	null
GO:0006974	"DNA damage response"	2.1357697179421	6.077564474444627	3.3941606378207965	0.9511133162612527	0.00471935	null
GO:0007018	"microtubule-based movement"	8.4763756342201	5.381145778195368	0.6828294661542957	0.792773218559937	0.00341533	null
GO:0007099	"centriole replication"	5.36673703316836	4.064607720130627	0.032941136123119844	0.5192364126873368	0.63261987	null
GO:0007224	"smoothened signaling pathway"	1.97629193099	4.306703744429641	0.05752420064868175	0.9067445571997182	0.30045767	null
GO:0007368	"determination of left/right symmetry"	2.53146869507079	4.304921161900892	0.05728856208122342	0.917700600471216	0	null
GO:0010389	"regulation of G2/M transition of mitotic cell cycle"	4.47248470530881	4.757365657487588	0.16237768512986636	0.80154661232047	0.64776185	null
GO:0018200	"peptidyl-glutamic acid modification"	1.80631025111195	2.0086001717619175	0.00028674090738904634	0.9847964770110162	0.09747819	null
GO:0022406	"membrane docking"	2.30323303813408	4.797918148651549	0.17827051284832063	0.9964052011571299	0.00302344	null
GO:0031023	"microtubule organizing center organization"	5.69845455067351	4.550313980144907	0.10080220453223246	0.650051918752918	0.69214533	null
GO:0031507	"heterochromatin formation"	2.09253126348391	4.7957132162351614	0.1773677048428779	0.6527144521591121	0.51663773	null
GO:0032392	"DNA geometric change"	2.64431247072854	3.0881360887005513	0.0034749591152890367	0.7678415411870182	0.53846139	null
GO:0032886	"regulation of microtubule-based process"	3.21941946029566	4.889312909961231	0.22002680260948987	0.9224159707957509	0.17056043	null
GO:0033044	"regulation of chromosome organization"	2.9238735357372	4.864463614586745	0.20779063121496721	0.8310198443858138	0.62696256	null
GO:0034502	"protein localization to chromosome"	1.84361989265353	4.290635526261545	0.055434682749292266	0.9382160080665759	0.1796467	null
GO:0035825	"homologous recombination"	1.68216321361794	4.852614165024393	0.2021977640114383	0.9269739537413688	0.51357065	null
GO:0044380	"protein localization to cytoskeleton"	1.68227844392756	4.186899856567887	0.043655593395261046	0.9389942808359693	0.57466437	null
GO:0044770	"cell cycle phase transition"	3.54262104175856	4.68532067185346	0.1375561430179611	0.7023032769539583	0.63509981	null
GO:0044772	"mitotic cell cycle phase transition"	3.31080133229349	4.667658376956949	0.13207399755094876	0.6818393259859999	0.6329658	null
GO:0045787	"positive regulation of cell cycle"	1.43171179524343	4.740489011333966	0.15618862396047903	0.8147783278901223	0.69562525	null
